point_index,hole_offset_x,hole_offset_y,hole_offset_z,radius_mm,angle_deg
49,-0.0014085008967958397,0.0,0.00240335707370447,2.7856776554368237,120.37267440181586
50,-0.0005908583683678301,0.0,-0.00275152437541987,2.814249455894058,257.8804384518544
51,0.00231736753930258,0.0,0.001646149351604133,2.8425340807103794,35.38820250189201
52,-0.002848503555608564,0.0,0.0003550035122155417,2.870540018881465,172.89596655192963
53,0.0018785736388484326,0.0,-0.0022070253925643357,2.898275349237888,310.40373060196816
54,0.00010662367887691836,0.0,0.0029238042668931776,2.925747767665559,87.91149465200579
55,-0.0020727262625182983,0.0,-0.0021032845363067086,2.95296461204668,225.41925870204432
56,0.0029760452189828007,0.0,0.00015216719281637483,2.979932885150268,2.927022752081939
57,-0.002317833963453531,0.0,0.0019151098448551963,3.0066592756745814,140.43478680211956
58,0.00041912103236676606,0.0,-0.0030040535215318342,3.03315017762062,277.9425508521581
59,0.0017350556488812798,0.0,0.002519837672407721,3.059411708155671,55.450314902193895
60,-0.003006876870083137,0.0,-0.0006918753414879278,3.0854497241083023,192.95807895223243
61,0.002706997601016189,0.0,-0.0015336766243548867,3.1112698372208096,330.46584300227005
62,-0.0009679740710723754,0.0,0.002983793926820613,3.1368774282716245,107.97360705230858
63,-0.001312310701753882,0.0,-0.0028771236716662414,3.1622776601683795,245.4813711023453
64,0.002934322776766964,0.0,0.0012448894897727318,3.1874754901018454,22.989135152383824
65,-0.0030281548269993274,0.0,0.001072510300053418,3.212475680841802,160.49689920242236
66,0.0015200448541895755,0.0,-0.002858227359964877,3.237282811247729,298.0046632524609
67,0.000816029875764505,0.0,0.003158179102245433,3.2619012860600183,75.5124273024976
68,-0.002755521800196594,0.0,-0.0017908376834993515,3.286335345030997,213.02019135253613
69,0.0032654525435640977,0.0,-0.0005448116057232684,3.3105890714493698,350.52795540257466
70,-0.0020546634357079306,0.0,0.0026264725709523183,3.334666400106613,128.03571945261137
71,-0.0002609693138527363,0.0,-0.003348416792639057,3.358571124749333,265.5434835026499
72,0.0024715984596266685,0.0,0.002308939378669583,3.3823069050575527,43.05124755268662
73,-0.0034057151698564606,0.0,-3.3229231251716794e-05,3.4058772731852804,180.55901160272333
74,0.002551128446642017,0.0,-0.002291668311238319,3.4292856398964493,318.06677565276186
75,-0.0003353815056339457,0.0,0.0034362071016862047,3.4525353003264136,95.5745397028004
76,-0.0020876965532410836,0.0,-0.0027787628725001526,3.4756294393965534,233.08230375283892
77,0.003438980752335498,0.0,0.000642970749774803,3.4985711369071804,10.590067802875637
78,-0.002989467386837238,0.0,0.0018609365231077978,3.5213633723318023,148.09783185291417
79,0.0009533876497347661,0.0,-0.0034133637352812573,3.54400902933387,285.6055959029527
80,0.0016128716402043011,0.0,0.003180981778040341,3.566510900025402,63.11335995298941
81,-0.0033589317968200742,0.0,-0.001263952999249208,3.588871688985272,200.62112400302794
82,0.003351182612036788,0.0,-0.001345204482888119,3.6110940170535577,338.1288880530665
83,-0.001571941152707977,0.0,0.003275515381191655,3.63318042491699,115.63665210310319
84,-0.0010598438506317445,0.0,-0.00349810391673519,3.655133376499413,253.14441615314172
85,0.003163204005009617,0.0,0.001874604070915007,3.676955262170047,30.652180203178432
86,-0.0036199566441883287,0.0,0.0007588899091414877,3.698648401781386,168.15994425321696
87,0.002169195755194818,0.0,-0.00302234838753655,3.7202150475476548,305.6677083032537
88,0.00044461753378004964,0.0,0.003715146733125805,3.7416573867739413,83.17547235329221
89,-0.0028535603026257446,0.0,-0.0024529968608374675,3.7629775444453557,220.68323640333074
90,0.003782291605667698,0.0,-0.00011945798297171076,3.7841775856849003,358.19100045336745
91,-0.0027233392780971625,0.0,0.0026577101377639415,3.8052595180880897,135.69876450340598
92,0.00021402095146626473,0.0,-0.003820234944651111,3.8262252939417984,273.2065285534445
93,0.0024359221654373362,0.0,0.002977630467994825,3.8470768123342696,50.714292603481226
94,-0.003828059611976054,0.0,-0.0005531361560752862,3.8678159211627436,188.22205665351976
95,0.003213377341042834,0.0,-0.0021895675518404283,3.888444419044716,325.7298207035583
96,-0.0008951115958986351,0.0,0.003805098583596462,3.9089640571384128,103.237584753595
97,-0.0019202551475960654,0.0,-0.0034282094696985502,3.9293765408777004,240.7453488036317
98,0.0037509437931210134,0.0,0.0012371017180680607,3.9496835316263,18.253112853670245
99,-0.003619901429846675,0.0,0.0016298201244904292,3.969886648255842,155.76087690370878
100,0.0015762156641733673,0.0,-0.0036654527933141505,3.9899874686520005,293.2686409537455
